"borough","incident_zip","total_srs","rank_borough"
"BRONX","10467",34151,1
"BRONX","10453",29072,2
"BRONX","10457",28721,3
"BRONX","10452",28289,4
"BRONX","10468",27022,5
"BRONX","10458",26197,6
"BRONX","10456",25620,7
"BRONX","10466",20464,8
"BRONX","10472",19857,9
"BRONX","10460",19761,10
"BRONX","10462",19729,11
"BRONX","10463",19018,12
"BRONX","10461",18309,13
"BRONX","10469",18139,14
"BRONX","10459",15223,15
"BRONX","10451",14721,16
"BRONX","10465",14179,17
"BRONX","10473",13787,18
"BRONX",NULL,13445,19
"BRONX","10455",12223,20
"BRONX","10454",10416,21
"BRONX","10470",5947,22
"BRONX","10474",5926,23
"BRONX","10471",5904,24
"BRONX","10475",3360,25
"BRONX","10464",2078,26
"BRONX","11101",287,27
"BRONX","11106",286,28
"BRONX","11103",138,29
"BRONX","11105",110,30
"BRONX","11377",108,31
"BRONX","11102",98,32
"BRONX","11370",52,33
"BRONX","11104",2,34
"BROOKLYN","11226",41159,1
"BROOKLYN","11221",33138,2
"BROOKLYN","11207",31341,3
"BROOKLYN","11208",29340,4
"BROOKLYN","11234",26823,5
"BROOKLYN","11233",26499,6
"BROOKLYN","11206",26110,7
"BROOKLYN","11215",25803,8
"BROOKLYN","11230",25142,9
"BROOKLYN","11203",24787,10
"BROOKLYN","11225",24517,11
"BROOKLYN","11238",24478,12
"BROOKLYN","11209",24287,13
"BROOKLYN","11216",24038,14
"BROOKLYN","11237",23965,15
"BROOKLYN","11211",23774,16
"BROOKLYN","11220",23436,17
"BROOKLYN","11236",23185,18
"BROOKLYN","11223",22949,19
"BROOKLYN","11212",22934,20
"BROOKLYN","11214",22857,21
"BROOKLYN","11229",22373,22
"BROOKLYN","11213",22354,23
"BROOKLYN","11201",22212,24
"BROOKLYN","11235",21907,25
"BROOKLYN","11218",20548,26
"BROOKLYN","11204",20499,27
"BROOKLYN","11219",19645,28
"BROOKLYN","11210",19047,29
"BROOKLYN","11217",17662,30
"BROOKLYN","11222",17566,31
"BROOKLYN","11205",14548,32
"BROOKLYN","11228",14005,33
"BROOKLYN",NULL,12892,34
"BROOKLYN","11231",12580,35
"BROOKLYN","11249",10143,36
"BROOKLYN","11232",10056,37
"BROOKLYN","11224",7155,38
"BROOKLYN","11239",1677,39
"BROOKLYN","11251",21,40
"BROOKLYN","11242",17,41
"BROOKLYN","11385",14,42
"BROOKLYN","11241",10,43
"BROOKLYN","11414",4,44
"BROOKLYN","11416",3,45
"BROOKLYN","10305",1,46
"MANHATTAN","10031",24612,1
"MANHATTAN","10032",21959,2
"MANHATTAN","10002",21016,3
"MANHATTAN","10033",20132,4
